label,instrument,side,qty,cycle,entry_tick,entry_index,entry_price,exit_tick,exit_index,exit_price,exit_reason,gross_pnl,transaction_cost,net_pnl
23750CE,23750CE,SELL,1,0,09:20:00,5,78.25,15:29:00,374,146.2,EOD_FORCE,-67.94999999999999,0.11222499999999999,-68.06222499999998
23850CE,23850CE,BUY,1,0,09:20:00,5,46.1,15:29:00,374,92.2,EOD_FORCE,46.1,0.06915,46.03085
23550PE,23550PE,SELL,1,0,09:20:00,5,72.45,15:29:00,374,36.5,EOD_FORCE,35.95,0.05447500000000001,35.895525000000006
23450PE,23450PE,BUY,1,0,09:20:00,5,45.55,15:29:00,374,20.2,EOD_FORCE,-25.349999999999998,0.032875,-25.382875
23850CE,23850CE,SELL,1,0,09:20:00,5,78.95,15:29:00,374,339.05,EOD_FORCE,-260.1,0.20900000000000002,-260.309
23950CE,23950CE,BUY,1,0,09:20:00,5,43.95,15:29:00,374,238.2,EOD_FORCE,194.25,0.141075,194.108925
23650PE,23650PE,SELL,1,0,09:20:00,5,67.0,15:29:00,374,0.05,EOD_FORCE,66.95,0.033525,66.916475
23550PE,23550PE,BUY,1,0,09:20:00,5,40.35,15:29:00,374,0.05,EOD_FORCE,-40.300000000000004,0.020200000000000003,-40.32020000000001
24250CE,24250CE,SELL,1,0,09:20:00,5,137.85,15:29:00,374,58.35,EOD_FORCE,79.5,0.0981,79.4019
24350CE,24350CE,BUY,1,0,09:20:00,5,98.3,15:29:00,374,36.65,EOD_FORCE,-61.65,0.06747500000000001,-61.717475
24050PE,24050PE,SELL,1,0,09:20:00,5,134.4,15:29:00,374,190.25,EOD_FORCE,-55.849999999999994,0.16232500000000002,-56.012325
23950PE,23950PE,BUY,1,0,09:20:00,5,100.65,15:29:00,374,138.85,EOD_FORCE,38.19999999999999,0.11975000000000001,38.080249999999985
24100CE,24100CE,SELL,1,0,09:20:00,5,106.1,15:29:00,374,39.6,EOD_FORCE,66.5,0.07285,66.42715
24200CE,24200CE,BUY,1,0,09:20:00,5,71.8,15:29:00,374,26.15,EOD_FORCE,-45.65,0.048975000000000005,-45.698975
23900PE,23900PE,SELL,1,0,09:20:00,5,106.3,15:29:00,374,345.0,EOD_FORCE,-238.7,0.22565,-238.92565
23800PE,23800PE,BUY,1,0,09:20:00,5,72.0,15:29:00,374,276.75,EOD_FORCE,204.75,0.174375,204.575625
23850CE,23850CE,SELL,1,0,09:20:00,5,115.2,15:29:00,374,56.0,EOD_FORCE,59.2,0.08560000000000001,59.1144
23950CE,23950CE,BUY,1,0,09:20:00,5,79.4,15:29:00,374,31.75,EOD_FORCE,-47.650000000000006,0.055575000000000006,-47.705575
23650PE,23650PE,SELL,1,0,09:20:00,5,126.4,15:29:00,374,94.15,EOD_FORCE,32.25,0.11027500000000001,32.139725
23550PE,23550PE,BUY,1,0,09:20:00,5,93.05,15:29:00,374,59.05,EOD_FORCE,-34.0,0.07605,-34.07605
23750CE,23750CE,SELL,1,0,09:20:00,5,65.7,15:29:00,374,42.75,EOD_FORCE,22.950000000000003,0.05422500000000001,22.895775000000004
23850CE,23850CE,BUY,1,0,09:20:00,5,36.65,15:29:00,374,22.95,EOD_FORCE,-13.7,0.0298,-13.7298
23550PE,23550PE,SELL,1,0,09:20:00,5,58.6,15:29:00,374,24.8,EOD_FORCE,33.8,0.0417,33.7583
23450PE,23450PE,BUY,1,0,09:20:00,5,33.85,15:29:00,374,12.35,EOD_FORCE,-21.5,0.023100000000000002,-21.5231
23700CE,23700CE,SELL,1,0,09:20:00,5,23.5,12:12:00,177,5.35,TARGET,18.15,0.014425,18.135575
23800CE,23800CE,BUY,1,0,09:20:00,5,12.3,12:12:00,177,2.6,TARGET,-9.700000000000001,0.007450000000000001,-9.707450000000001
23500PE,23500PE,SELL,1,0,09:20:00,5,21.9,12:12:00,177,12.6,TARGET,9.299999999999999,0.01725,9.282749999999998
23400PE,23400PE,BUY,1,0,09:20:00,5,9.95,12:12:00,177,4.6,TARGET,-5.35,0.007275,-5.357275
23700CE,23700CE,SELL,1,0,09:20:00,5,128.5,15:29:00,374,60.0,EOD_FORCE,68.5,0.09425,68.40575
23800CE,23800CE,BUY,1,0,09:20:00,5,88.5,15:29:00,374,37.45,EOD_FORCE,-51.05,0.062975,-51.112975
23500PE,23500PE,SELL,1,0,09:20:00,5,134.0,15:29:00,374,171.2,EOD_FORCE,-37.19999999999999,0.1526,-37.35259999999999
23400PE,23400PE,BUY,1,0,09:20:00,5,100.15,15:29:00,374,128.05,EOD_FORCE,27.900000000000006,0.11410000000000001,27.785900000000005
23350CE,23350CE,SELL,1,0,09:20:00,5,115.5,15:29:00,374,48.75,EOD_FORCE,66.75,0.082125,66.667875
23450CE,23450CE,BUY,1,0,09:20:00,5,78.2,15:29:00,374,31.2,EOD_FORCE,-47.0,0.054700000000000006,-47.0547
23150PE,23150PE,SELL,1,0,09:20:00,5,133.95,15:29:00,374,136.5,EOD_FORCE,-2.5500000000000114,0.13522499999999998,-2.6852250000000115
