label,instrument,side,qty,cycle,entry_tick,entry_index,entry_price,exit_tick,exit_index,exit_price,exit_reason,gross_pnl,transaction_cost,net_pnl
23650CE,23650CE,BUY,1,0,09:30:00,15,117.0,12:21:00,186,241.15,TARGET_2X,124.15,0.179075,123.97092500000001
23750CE,23750CE,BUY,1,0,09:30:00,15,122.2,11:25:00,130,244.45,TARGET_2X,122.24999999999999,0.18332500000000002,122.06667499999999
24150CE,24150CE,BUY,1,0,09:30:00,15,172.15,15:20:00,365,95.4,EOD_FORCE,-76.75,0.133775,-76.883775
24050CE,24050CE,BUY,1,0,09:30:00,15,139.3,11:10:00,115,67.6,SL_50PCT,-71.70000000000002,0.10345,-71.80345000000001
23750CE,23750CE,BUY,1,0,09:30:00,15,170.2,15:20:00,365,96.3,EOD_FORCE,-73.89999999999999,0.13325,-74.03325
23650CE,23650CE,BUY,1,0,09:30:00,15,87.0,11:47:00,152,42.4,SL_50PCT,-44.6,0.06470000000000001,-44.6647
23600CE,23600CE,BUY,1,0,09:30:00,15,47.55,10:47:00,92,23.6,SL_50PCT,-23.949999999999996,0.035575,-23.985574999999997
23500CE,23500CE,BUY,1,0,09:30:00,15,208.05,15:20:00,365,140.6,EOD_FORCE,-67.45000000000002,0.174325,-67.62432500000001
23250CE,23250CE,BUY,1,0,09:30:00,15,158.1,14:31:00,316,77.4,SL_50PCT,-80.69999999999999,0.11775000000000002,-80.81774999999999
23200CE,23200CE,BUY,1,0,09:30:00,15,123.2,15:20:00,365,107.75,EOD_FORCE,-15.450000000000003,0.115475,-15.565475000000003
23200CE,23200CE,BUY,1,0,09:30:00,15,87.1,15:20:00,365,65.8,EOD_FORCE,-21.299999999999997,0.07644999999999999,-21.37645
23350CE,23350CE,BUY,1,0,09:30:00,15,27.95,10:43:00,88,13.8,SL_50PCT,-14.149999999999999,0.020875,-14.170874999999999
23250CE,23250CE,BUY,1,0,09:30:00,15,176.35,15:20:00,365,155.6,EOD_FORCE,-20.75,0.165975,-20.915975
23200CE,23200CE,BUY,1,0,09:30:00,15,190.85,15:20:00,365,238.5,EOD_FORCE,47.650000000000006,0.214675,47.435325000000006
23400CE,23400CE,BUY,1,0,09:30:00,15,140.75,11:26:00,131,69.9,SL_50PCT,-70.85,0.10532500000000002,-70.95532499999999
23100CE,23100CE,BUY,1,0,09:30:00,15,119.0,11:57:00,162,59.5,SL_50PCT,-59.5,0.08925000000000001,-59.58925
23100CE,23100CE,BUY,1,0,09:30:00,15,60.45,09:40:00,25,122.5,TARGET_2X,62.05,0.091475,61.958524999999995
22950CE,22950CE,BUY,1,0,09:30:00,15,178.95,15:20:00,365,109.45,EOD_FORCE,-69.49999999999999,0.1442,-69.64419999999998
22900CE,22900CE,BUY,1,0,09:30:00,15,164.55,15:20:00,365,189.35,EOD_FORCE,24.799999999999983,0.17695,24.62304999999998
23000CE,23000CE,BUY,1,0,09:30:00,15,158.05,15:20:00,365,236.4,EOD_FORCE,78.35,0.197225,78.15277499999999
23200CE,23200CE,BUY,1,0,09:30:00,15,115.4,13:34:00,259,57.35,SL_50PCT,-58.050000000000004,0.08637500000000001,-58.136375
23300CE,23300CE,BUY,1,0,09:30:00,15,363.35,15:20:00,365,416.2,EOD_FORCE,52.849999999999966,0.38977500000000004,52.460224999999966
23550CE,23550CE,BUY,1,0,09:30:00,15,251.0,12:35:00,200,110.05,SL_50PCT,-140.95,0.180525,-141.13052499999998
23350CE,23350CE,BUY,1,0,09:30:00,15,130.65,15:20:00,365,133.3,EOD_FORCE,2.6500000000000057,0.131975,2.5180250000000055
23500CE,23500CE,BUY,1,0,09:30:00,15,120.7,13:36:00,261,242.4,TARGET_2X,121.7,0.18155000000000002,121.51845
