label,instrument,side,qty,cycle,entry_tick,entry_index,entry_price,exit_tick,exit_index,exit_price,exit_reason,gross_pnl,transaction_cost,net_pnl
ce,23750CE,SELL,1,0,09:20:00,5,78.25,15:29:00,374,146.2,EOD_FORCE,-67.94999999999999,0.11222499999999999,-68.06222499999998
pe,23550PE,SELL,1,0,09:20:00,5,72.45,15:29:00,374,36.5,EOD_FORCE,35.95,0.05447500000000001,35.895525000000006
ce,23850CE,SELL,1,0,09:20:00,5,78.95,12:31:00,196,253.0,LEG_SL,-174.05,0.165975,-174.21597500000001
pe,23650PE,SELL,1,0,09:20:00,5,67.0,15:29:00,374,0.05,EOD_FORCE,66.95,0.033525,66.916475
ce,24250CE,SELL,1,0,09:20:00,5,137.85,15:29:00,374,58.35,EOD_FORCE,79.5,0.0981,79.4019
pe,24050PE,SELL,1,0,09:20:00,5,134.4,15:29:00,374,190.25,EOD_FORCE,-55.849999999999994,0.16232500000000002,-56.012325
pe,23900PE,SELL,1,0,09:20:00,5,106.3,11:47:00,152,322.25,LEG_SL,-215.95,0.21427500000000002,-216.16427499999998
ce,24100CE,SELL,1,0,09:20:00,5,106.1,15:29:00,374,39.6,EOD_FORCE,66.5,0.07285,66.42715
ce,23850CE,SELL,1,0,09:20:00,5,115.2,15:29:00,374,56.0,EOD_FORCE,59.2,0.08560000000000001,59.1144
pe,23650PE,SELL,1,0,09:20:00,5,126.4,15:29:00,374,94.15,EOD_FORCE,32.25,0.11027500000000001,32.139725
ce,23750CE,SELL,1,0,09:20:00,5,65.7,15:29:00,374,42.75,EOD_FORCE,22.950000000000003,0.05422500000000001,22.895775000000004
pe,23550PE,SELL,1,0,09:20:00,5,58.6,15:29:00,374,24.8,EOD_FORCE,33.8,0.0417,33.7583
ce,23700CE,SELL,1,0,09:20:00,5,23.5,15:29:00,374,0.05,EOD_FORCE,23.45,0.011775,23.438225
pe,23500PE,SELL,1,0,09:20:00,5,21.9,15:29:00,374,0.05,EOD_FORCE,21.849999999999998,0.010975,21.839025
ce,23700CE,SELL,1,0,09:20:00,5,128.5,15:29:00,374,60.0,EOD_FORCE,68.5,0.09425,68.40575
pe,23500PE,SELL,1,0,09:20:00,5,134.0,15:29:00,374,171.2,EOD_FORCE,-37.19999999999999,0.1526,-37.35259999999999
ce,23350CE,SELL,1,0,09:20:00,5,115.5,15:29:00,374,48.75,EOD_FORCE,66.75,0.082125,66.667875
pe,23150PE,SELL,1,0,09:20:00,5,133.95,15:29:00,374,136.5,EOD_FORCE,-2.5500000000000114,0.13522499999999998,-2.6852250000000115
ce,23300CE,SELL,1,0,09:20:00,5,82.0,15:29:00,374,61.0,EOD_FORCE,21.0,0.07150000000000001,20.9285
pe,23100PE,SELL,1,0,09:20:00,5,63.75,15:29:00,374,38.0,EOD_FORCE,25.75,0.050875000000000004,25.699125
ce,23300CE,SELL,1,0,09:20:00,5,52.2,15:29:00,374,22.3,EOD_FORCE,29.900000000000002,0.037250000000000005,29.862750000000002
