symbol,series,open,high,low,close,last,prevclose,qty,volume,timestamp,totaltrades,isin_code,prevdayret,prevhigh,prevlow
INFY,EQ,1037.7,1044.5,1030.0,1033.55,1032.15,1042.05,2715670,2814045584.35,2018-01-01,65839,INE009A01021,,,
IOC,EQ,390.0,392.5,388.5,389.95,390.5,388.55,2218462,865834992.85,2018-01-01,24346,INE242A01010,,,
IBULHSGFIN,EQ,1196.6,1243.9,1194.85,1218.15,1217.5,1196.6,1323659,1625792736.3,2018-01-01,26037,INE148I01020,,,
HINDUNILVR,EQ,1367.0,1367.0,1340.05,1344.5,1345.0,1367.85,746852,1007039281.0,2018-01-01,16383,INE030A01027,,,
HINDPETRO,EQ,419.0,421.2,412.4,413.75,414.8,418.6,2087052,867408114.1,2018-01-01,15704,INE094A01015,,,
HINDALCO,EQ,273.0,277.9,270.0,271.15,271.2,273.55,4614411,1258495904.75,2018-01-01,28044,INE038A01020,,,
HEROMOTOCO,EQ,3810.0,3810.0,3740.0,3749.1,3756.0,3785.15,201102,755599895.35,2018-01-01,8712,INE158A01026,,,
HDFCBANK,EQ,1872.7,1880.75,1850.5,1854.5,1855.0,1872.4,1645129,3063622972.65,2018-01-01,30994,INE040A01026,,,
HDFC,EQ,1710.0,1711.05,1677.5,1683.75,1688.8,1710.4,1387222,2341160632.3,2018-01-01,23130,INE001A01036,,,
HCLTECH,EQ,889.0,890.7,875.95,878.7,876.9,890.5,643144,566249302.05,2018-01-01,11023,INE860A01027,,,
GAIL,EQ,502.8,504.75,496.85,498.65,499.8,499.65,1639410,821615574.25,2018-01-01,17024,INE129A01019,,,
INFRATEL,EQ,379.9,379.9,368.35,369.95,369.95,378.75,1788442,664446707.1,2018-01-01,19164,INE121J01017,,,
ICICIBANK,EQ,314.0,314.0,309.1,310.3,309.3,314.0,7739502,2406452440.55,2018-01-01,55044,INE090A01021,,,
EICHERMOT,EQ,30399.95,30420.0,29850.0,29893.15,29920.0,30340.85,19847,596219396.45,2018-01-01,5504,INE066A01013,,,
AXISBANK,EQ,563.8,569.8,560.5,565.5,562.95,563.95,6943234,3926020653.9,2018-01-01,60203,INE238A01034,,,
BAJAJ-AUTO,EQ,3340.0,3345.05,3276.4,3289.25,3290.0,3333.6,174560,575864168.05,2018-01-01,8571,INE917I01010,,,
BAJAJFINSV,EQ,5208.0,5308.75,5151.6,5171.85,5167.0,5230.4,44899,234577505.35,2018-01-01,6275,INE918I01018,,,
BAJFINANCE,EQ,1759.5,1760.0,1720.4,1725.65,1733.85,1756.7,535319,929040050.6,2018-01-01,15343,INE296A01024,,,
INDUSINDBK,EQ,1652.0,1655.95,1618.1,1623.85,1620.4,1648.9,771099,1259576725.75,2018-01-01,31522,INE095A01012,,,
BPCL,EQ,518.0,523.0,507.2,508.6,508.75,517.7,1940293,994459351.75,2018-01-01,23827,INE029A01011,,,
CIPLA,EQ,608.0,617.85,607.0,611.5,616.3,608.5,873546,534903891.5,2018-01-01,13525,INE059A01026,,,
COALINDIA,EQ,263.0,267.3,262.6,266.65,266.9,262.95,3079260,818781485.4,2018-01-01,25673,INE522F01014,,,
BHARTIARTL,EQ,531.0,538.1,525.4,527.9,527.95,529.65,4333190,2307486229.5,2018-01-01,35087,INE397D01024,,,
DRREDDY,EQ,2410.0,2436.0,2394.05,2404.15,2408.0,2414.2,242081,583966342.6,2018-01-01,10416,INE089A01023,,,
ASIANPAINT,EQ,1163.0,1165.0,1138.1,1143.65,1145.0,1158.5,591349,681146388.85,2018-01-01,13322,INE021A01026,,,
GRASIM,EQ,1165.05,1169.8,1140.9,1143.95,1146.95,1165.75,187524,216844684.8,2018-01-01,6372,INE047A01021,,,
RELIANCE,EQ,922.7,922.7,907.5,909.75,909.5,921.05,4321686,3947568943.55,2018-01-01,61538,INE002A01018,,,
ITC,EQ,263.25,266.3,261.25,262.3,261.8,263.25,10461011,2753929704.55,2018-01-01,44043,INE154A01025,,,
WIPRO,EQ,311.5,320.0,309.45,316.55,314.8,314.25,3350397,1060197300.6,2018-01-01,27501,INE075A01022,,,
VEDL,EQ,331.0,333.3,323.4,325.45,324.6,329.9,5729566,1878987990.95,2018-01-01,43651,INE205A01025,,,
