SYMBOL,Industry
3MINDIA,SERVICES
ABB,INDUSTRIAL MANUFACTURING
ABGSHIP,INDUSTRIAL MANUFACTURING
ACC,CEMENT & CEMENT PRODUCTS
AIAENG,INDUSTRIAL MANUFACTURING
AARTIIND,CHEMICALS
ABAN,ENERGY
ADANIENT,SERVICES
ADANIPORTS,SERVICES
ABIRLANUVO,SERVICES
ADVANTA,CONSUMER GOODS
ATFL,CONSUMER GOODS
AJANTPHARM,PHARMA
AKZOINDIA,CONSUMER GOODS
APLLTD,PHARMA
ALBK,FINANCIAL SERVICES
ALLCARGO,SERVICES
ALOKTEXT,TEXTILES
AIL,INDUSTRIAL MANUFACTURING
ALSTOMT&D,INDUSTRIAL MANUFACTURING
AMARAJABAT,AUTOMOBILE
AMBUJACEM,CEMENT & CEMENT PRODUCTS
AMTEKAUTO,AUTOMOBILE
AMTEKINDIA,AUTOMOBILE
ANANTRAJ,CONSTRUCTION
ANDHRABANK,FINANCIAL SERVICES
ANSALAPI,CONSTRUCTION
APARINDS,INDUSTRIAL MANUFACTURING
APOLLOHOSP,HEALTHCARE SERVICES
APOLLOTYRE,AUTOMOBILE
ARVIND,TEXTILES
ASAHIINDIA,AUTOMOBILE
ASHOKLEY,AUTOMOBILE
ASHOKA,CONSTRUCTION
ASIANPAINT,CONSUMER GOODS
ASTRAZEN,PHARMA
ASTRAL,INDUSTRIAL MANUFACTURING
ATUL,CHEMICALS
AUROPHARMA,PHARMA
AUTOAXLES,AUTOMOBILE
AXISBANK,FINANCIAL SERVICES
BASF,CHEMICALS
BEML,INDUSTRIAL MANUFACTURING
BFUTILITIE,CONSTRUCTION
BGRENERGY,CONSTRUCTION
BAJAJ-AUTO,AUTOMOBILE
BAJAJCORP,CONSUMER GOODS
BAJAJELEC,CONSUMER GOODS
BAJFINANCE,FINANCIAL SERVICES
BAJAJFINSV,FINANCIAL SERVICES
BAJAJHIND,CONSUMER GOODS
BAJAJHLDNG,FINANCIAL SERVICES
BALKRISIND,AUTOMOBILE
BALLARPUR,PAPER
BALMLAWRIE,SERVICES
BALRAMCHIN,CONSUMER GOODS
BANKBARODA,FINANCIAL SERVICES
BANKINDIA,FINANCIAL SERVICES
BATAINDIA,CONSUMER GOODS
BERGEPAINT,CONSUMER GOODS
BEL,INDUSTRIAL MANUFACTURING
BHARATFORG,INDUSTRIAL MANUFACTURING
BHEL,INDUSTRIAL MANUFACTURING
BPCL,ENERGY
BHARTIARTL,TELECOM
INFRATEL,TELECOM
BHUSANSTL,METALS
BIOCON,PHARMA
BIRLACORPN,CEMENT & CEMENT PRODUCTS
BLUEDART,SERVICES
BLUESTARCO,CONSUMER GOODS
BBTC,CONSUMER GOODS
BOMDYEING,TEXTILES
BOSCHLTD,AUTOMOBILE
BRIGADE,CONSTRUCTION
BRITANNIA,CONSUMER GOODS
CARERATING,FINANCIAL SERVICES
CESC,ENERGY
CMC,IT
CRISIL,FINANCIAL SERVICES
CADILAHC,PHARMA
CAIRN,ENERGY
CANFINHOME,FINANCIAL SERVICES
CANBK,FINANCIAL SERVICES
CAPF,FINANCIAL SERVICES
CARBORUNIV,INDUSTRIAL MANUFACTURING
CASTROLIND,ENERGY
CENTRALBK,FINANCIAL SERVICES
CENTENKA,TEXTILES
CENTURYPLY,CONSUMER GOODS
CENTURYTEX,CEMENT & CEMENT PRODUCTS
CHAMBLFERT,FERTILISERS & PESTICIDES
CHENNPETRO,ENERGY
CHOLAFIN,FINANCIAL SERVICES
CIPLA,PHARMA
CUB,FINANCIAL SERVICES
CLNINDIA,CHEMICALS
COALINDIA,METALS
COLPAL,CONSUMER GOODS
CONCOR,SERVICES
COROMANDEL,FERTILISERS & PESTICIDES
CORPBANK,FINANCIAL SERVICES
COX&KINGS,SERVICES
CROMPGREAV,INDUSTRIAL MANUFACTURING
CUMMINSIND,INDUSTRIAL MANUFACTURING
CYIENT,IT
DBREALTY,CONSTRUCTION
DBCORP,MEDIA & ENTERTAINMENT
DCBBANK,FINANCIAL SERVICES
DCMSHRIRAM,CONSUMER GOODS
DCW,CHEMICALS
DLF,CONSTRUCTION
DABUR,CONSUMER GOODS
DEEPAKFERT,CHEMICALS
DELTACORP,CONSTRUCTION
DEN,MEDIA & ENTERTAINMENT
DENABANK,FINANCIAL SERVICES
DHFL,FINANCIAL SERVICES
DHANBANK,FINANCIAL SERVICES
DISHMAN,PHARMA
DIVISLAB,PHARMA
DRREDDY,PHARMA
